period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
Fourth_Period,5,9,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,1193.0, , , , , , , , , , , ,78,1193,309,78.0,316.0
Fourth_Period,3,59,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0, , , , , , , , , , , ,78,1193,239,78.0,240.0
Fourth_Period,3,44,12187,Shot,,,,,,,78.0,Power_Play,439.0,78.0,1029.0,True,False,False,0.798,0.073,0.703,0.432,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Viktor Rasovic,Vasilije Martinovic, , , , , , ,78,1193,224,78.0,239.0
Fourth_Period,0,19,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,1193.0, , , , , , , , , , , ,78,1193,19,1193.0,20.0
Fourth_Period,7,33,12188,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,2660.0, , , , , , , , , , , ,2660,165,453,2660.0,480.0
Fourth_Period,7,33,12188,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,Exclusion,18860.0,165.0,12194.0,2660.0,False,False,0.548,0.094,,2660.0, , , , , , , , ,Jack Larsen,Bogdan Djerkovic, ,2660,165,453,2660.0,453.0
Fourth_Period,7,21,12188,Shot,,,,,,,2660.0,Regular_Attack,12202.0,2660.0,,False,False,False,0.773,0.157,0.504,0.932,4895.0,165.0,,,,,,,,,,,,,,,,,,,,,2660.0, , , ,Reuel Mark D'Souza, ,Adrian Weinberg, , , , , ,2660,165,441,2660.0,453.0
Fourth_Period,7,21,12188,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0,165.0, , , , , , , , , , , ,2660,165,441,2660.0,441.0
Fourth_Period,6,53,12188,Shot,,,,,,,165.0,Regular_Attack,2205.0,165.0,18860.0,True,False,False,0.592,0.279,0.206,0.415,,,,,,,,,,,,,,,,,,,,,,,165.0, , , ,Max Irving,Jack Larsen, , , , , , ,2660,165,413,165.0,441.0
Fourth_Period,4,8,12188,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660.0,2660.0, , , , , , , , , , , ,2660,165,248,2660.0,262.0
Second_Period,1,7,12189,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596.0,4596.0, , , , , , , , , , , ,4596,77,1027,4596.0,1027.0
Second_Period,0,50,12189,Shot,,,,,,,4596.0,Power_Play,16906.0,4596.0,,False,False,False,0.339,0.181,0.262,0.29,,,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Yu Liu, , , , , , , ,4596,77,1010,4596.0,1027.0
Fourth_Period,4,41,12189,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,77.0, , , , , , , , , , , ,4596,77,281,4596.0,282.0
Fourth_Period,4,25,12189,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596.0,Exclusion,16901.0,4596.0,81.0,77.0,False,False,0.477,0.037,,77.0, , , , , , , , ,Zhongxian Chen,Marko Zuvela, ,4596,77,265,77.0,281.0
Fourth_Period,4,25,12189,Shot,,,,,,,77.0,Power_Play,81.0,77.0,4957.0,True,False,False,0.599,0.123,0.808,0.915,,,,,,,,,,,,,,,,,,,,,,,77.0, , , ,Marko Zuvela,Tin Brubnjak, , , , , , ,4596,77,265,77.0,265.0
Fourth_Period,0,53,12189,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4596.0,4596.0, , , , , , , , , , , ,4596,77,53,4596.0,54.0
Fourth_Period,0,41,12189,Shot,,,,,,,4596.0,Regular_Attack,16901.0,4596.0,,False,False,False,0.388,0.228,0.397,0.48,75.0,77.0,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Zhongxian Chen, ,Toni Popadic, , , , , ,4596,77,41,4596.0,53.0
Fourth_Period,0,26,12189,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,Exclusion,71.0,77.0,16907.0,4596.0,False,False,0.541,0.076,,4596.0, , , , , , , , ,Luka Loncar,Yiahao Peng, ,4596,77,26,4596.0,41.0
Fourth_Period,0,24,12189,Shot,,,,,,,4596.0,Power_Play,25410.0,4596.0,,False,False,False,0.248,0.107,0.248,0.577,75.0,77.0,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Deming Li, ,Toni Popadic, , , , , ,4596,77,24,4596.0,26.0
Fourth_Period,0,14,12189,Shot,,,,,,,4596.0,Power_Play,25411.0,4596.0,,False,False,False,0.189,0.127,0.322,0.665,75.0,77.0,,,,,,,,,,,,,,,,,,,,,4596.0, , , ,Yuhao Cai, ,Toni Popadic, , , , , ,4596,77,14,4596.0,24.0
Fourth_Period,5,50,12190,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528.0,2528.0, , , , , , , , , , , ,2528,4837,350,4837.0,350.0
Fourth_Period,5,23,12190,Turnover,,,,,,,,,,,,,,,,,,,,,,,,2528.0,Lost_Ball,598.0,2528.0,25478.0,4837.0,,,,,,,,,,,,2528.0, , , , , , ,Gustavo Guimaraes,Justin Kin Yan Saik, , , ,2528,4837,323,2528.0,350.0
Fourth_Period,2,26,12190,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4837.0,4837.0, , , , , , , , , , , ,2528,4837,146,4837.0,147.0
Fourth_Period,2,10,12190,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Lost_Ball,25479.0,4837.0,25484.0,2528.0,,,,,,,,,,,,4837.0, , , , , , ,Tien Ee Jayden See,Lucas Andrade, , , ,2528,4837,130,4837.0,146.0
Fourth_Period,3,22,12191,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,1190.0, , , , , , , , , , , ,79,1190,202,1190.0,202.0
Fourth_Period,3,5,12191,Shot,,,,,,,1190.0,Power_Play,24831.0,1190.0,,False,False,False,0.808,0.044,0.859,0.707,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Toshiyuki Maeda, , , , , , , ,79,1190,185,1190.0,202.0
Fourth_Period,0,26,12191,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190.0,1190.0, , , , , , , , , , , ,79,1190,26,79.0,32.0
Fourth_Period,0,14,12191,Shot,,,,,,,1190.0,Regular_Attack,4763.0,1190.0,24831.0,True,False,False,0.28,0.153,0.266,0.946,,,,,,,,,,,,,,,,,,,,,,,1190.0, , , ,Yusuke Inaba,Toshiyuki Maeda, , , , , , ,79,1190,14,1190.0,26.0
