teamid,success rate,exclusion_rate,total_successes,total_attempts
1193,17.889908256880734,0.30303030303030304,39.0,218
78,65.10791366906474,0.5221238938053098,181.0,278
165,47.755102040816325,0.49206349206349204,117.0,245
2660,51.652892561983464,0.4222222222222222,125.0,242
77,60.73059360730594,0.43010752688172044,133.0,219
4596,35.148514851485146,0.4,71.0,202
2528,41.409691629955944,0.3548387096774194,94.0,227
4837,32.01970443349754,0.3392857142857143,65.0,203
1190,50.57034220532319,0.40789473684210525,133.0,263
79,52.03619909502263,0.39759036144578314,115.0,221
84,59.10780669144982,0.4536082474226804,159.0,269
1192,44.27860696517413,0.3548387096774194,89.0,201
81,57.58754863813229,0.46875,148.0,257
105,46.21212121212121,0.45,122.0,264
80,51.24999999999999,0.4177215189873418,123.0,240
87,48.96265560165975,0.5245901639344263,118.0,241
