period,minute,seconds,matchId,type,swimoff_homeTeamSwimmer_playerId,swimoff_homeTeamSwimmer_teamId,swimoff_awayTeamSwimmer_teamId,swimoff_awayTeamSwimmer_playerId,swimoff_winnerSwimmer_teamId,swimoff_winnerSwimmer_playerId,shot_teamId,shot_type,shot_takenBy_playerId,shot_takenBy_teamId,shot_assistedBy_playerId,shot_isGoal,shot_isFastBreak,shot_isDirectFromFoul,shot_locationX,shot_locationY,shot_targetX,shot_targetY,shot_savedBy_playerId,shot_savedBy_teamId,shot_blockedBy_playerId,shot_blockedBy_teamId,shot_blockedBy_positionId,turnover_teamId,turnover_type,turnover_lostPossesionPlayer_playerId,turnover_lostPossesionPlayer_teamId,turnover_wonPossesionPlayer_playerId,turnover_wonPossesionPlayer_teamId,exclusion_teamId,exclusion_type,exclusion_excludedPlayer_playerId,exclusion_excludedPlayer_teamId,exclusion_fouledPlayer_playerId,exclusion_fouledPlayer_teamId,exclusion_isPenaltyExclusion,exclusion_isDoubleExclusion,exclusion_locationX,exclusion_locationY,timeout_teamId,team_id,swimoff_home,swimoff_away,swimoff_winner,shot_taken_by,shot_assist_by,shot_saved_by,turnover_lost_by,turnover_won_by,exclusion_foul_by,exclusion_drawn_by,shot_blocked_by,home_team_id,away_team_id,game_time_seconds,team_id_last,game_time_seconds_last
Fourth_Period,5,9,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,1193.0, , , , , , , , , , , ,78,1193,309,78.0,316.0
Fourth_Period,5,9,12187,Shot,,,,,,,78.0,Power_Play,1038.0,78.0,16.0,True,False,False,0.561,0.103,0.492,0.384,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nikola Murisic,Milos Cuk, , , , , , ,78,1193,309,1193.0,309.0
Fourth_Period,4,42,12187,Shot,,,,,,,1193.0,Regular_Attack,25430.0,1193.0,,False,False,False,0.696,0.126,,,,,16.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , ,Brett Sneddon, , , , , , ,Milos Cuk,78,1193,282,78.0,309.0
Fourth_Period,4,25,12187,Shot,,,,,,,78.0,Regular_Attack,496.0,78.0,16.0,True,False,False,0.632,0.226,0.712,0.526,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Dusan Mandic,Milos Cuk, , , , , , ,78,1193,265,1193.0,282.0
Fourth_Period,4,3,12187,Shot,,,,,,,1193.0,Regular_Attack,19519.0,1193.0,,False,False,False,0.476,0.311,,,,,439.0,78.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , , Matthew Neser, , , , , , ,Viktor Rasovic,78,1193,243,78.0,265.0
Fourth_Period,4,0,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,19519.0,1193.0,439.0,78.0,False,False,0.504,0.706,,78.0, , , , , , , , , Matthew Neser,Viktor Rasovic, ,78,1193,240,1193.0,243.0
Fourth_Period,3,59,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,78.0, , , , , , , , , , , ,78,1193,239,78.0,240.0
Fourth_Period,3,44,12187,Shot,,,,,,,78.0,Power_Play,439.0,78.0,1029.0,True,False,False,0.798,0.073,0.703,0.432,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Viktor Rasovic,Vasilije Martinovic, , , , , , ,78,1193,224,78.0,239.0
Fourth_Period,3,15,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25425.0,1193.0,381.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Dylan Watt,Sava Randjelovic, , , ,78,1193,195,78.0,224.0
Fourth_Period,2,51,12187,Shot,,,,,,,78.0,Regular_Attack,1422.0,78.0,1029.0,True,False,False,0.467,0.144,0.239,0.955,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Nemanja Vico,Vasilije Martinovic, , , , , , ,78,1193,171,1193.0,195.0
Fourth_Period,2,44,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,5012.0,1193.0,496.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Ryan Sneddon,Dusan Mandic, , , ,78,1193,164,78.0,171.0
Fourth_Period,2,35,12187,Shot,,,,,,,78.0,Regular_Attack,1059.0,78.0,496.0,True,True,False,0.507,0.106,0.324,0.673,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Petar Jaksic,Dusan Mandic, , , , , , ,78,1193,155,1193.0,164.0
Fourth_Period,2,15,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25422.0,1193.0,1260.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Dean Sneddon,Boris Vapenski, , , ,78,1193,135,78.0,155.0
Fourth_Period,2,0,12187,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,5005.0,1193.0,1422.0,78.0,False,False,0.55,0.104,,78.0, , , , , , , , ,Mangoba Bungane,Nemanja Vico, ,78,1193,120,1193.0,135.0
Fourth_Period,1,54,12187,Shot,,,,,,,78.0,Regular_Attack,439.0,78.0,1260.0,True,False,False,0.767,0.085,0.76,0.903,,,,,,,,,,,,,,,,,,,,,,,78.0, , , ,Viktor Rasovic,Boris Vapenski, , , , , , ,78,1193,114,78.0,120.0
Fourth_Period,1,29,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Lost_Ball,25430.0,1193.0,1027.0,78.0,,,,,,,,,,,,1193.0, , , , , , ,Brett Sneddon,Vuk Milojevic, , , ,78,1193,89,78.0,114.0
Fourth_Period,1,13,12187,Turnover,,,,,,,,,,,,,,,,,,,,,,,,78.0,Lost_Ball,1422.0,78.0,,,,,,,,,,,,,,78.0, , , , , , ,Nemanja Vico, , , , ,78,1193,73,1193.0,89.0
Fourth_Period,0,19,12187,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,1193.0, , , , , , , , , , , ,78,1193,19,1193.0,20.0
Fourth_Period,6,38,12217,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,1193.0, , , , , , , , , , , ,1193,4837,398,1193.0,398.0
Fourth_Period,6,22,12217,Shot,,,,,,,1193.0,Power_Play,25423.0,1193.0,,False,False,False,0.368,0.22,,,,,25474.0,4837.0,401.0,,,,,,,,,,,,,,,,,,1193.0, , , ,Calvin Kuperus, , , , , , ,Dong Xuan Ryan Yap,1193,4837,382,1193.0,398.0
Fourth_Period,5,52,12217,Turnover,,,,,,,,,,,,,,,,,,,,,,,,4837.0,Clock_Expired,25476.0,4837.0,,,,,,,,,,,,,,4837.0, , , , , , ,Shaunn Blasius Jun Jie Lok, , , , ,1193,4837,352,1193.0,382.0
Fourth_Period,5,38,12217,Shot,,,,,,,1193.0,Regular_Attack,25430.0,1193.0,,False,False,False,0.565,0.13,0.694,0.779,25487.0,4837.0,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Brett Sneddon, ,Ken Chou, , , , , ,1193,4837,338,4837.0,352.0
Fourth_Period,5,36,12217,Exclusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,Exclusion,25423.0,1193.0,,,False,False,,,,4837.0, , , , , , , , ,Calvin Kuperus, , ,1193,4837,336,1193.0,338.0
Fourth_Period,5,35,12217,Timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4837.0,4837.0, , , , , , , , , , , ,1193,4837,335,4837.0,336.0
Fourth_Period,5,16,12217,Shot,,,,,,,4837.0,Power_Play,25475.0,4837.0,,False,False,False,0.656,0.175,0.695,0.864,25429.0,1193.0,,,,,,,,,,,,,,,,,,,,,4837.0, , , ,Dominic Bo Xun Chan, ,Matthew Smith, , , , , ,1193,4837,316,4837.0,335.0
Fourth_Period,4,46,12217,Shot,,,,,,,1193.0,Regular_Attack,25428.0,1193.0,,False,False,False,0.303,0.248,,,,,,,,,,,,,,,,,,,,,,,,,1193.0, , , ,Tristan Grimett, , , , , , , ,1193,4837,286,4837.0,316.0
